smiles,papp,log10_papp,split
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(c1ccncn1)C3)C2)c1cccc(F)c1,4.0,0.6020599913279624,train
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(=O)C(C)C)CC3)C2)c1ccccc1,1.0,0.0,train
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(=O)OC(C)C)CC3)C2)c1ccccc1,5.0,0.6989700043360189,train
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(C)=O)CC3)C2)c1ccccc1,1.0,0.0,train
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C)CC3)C2)c1ccccc1,1.0,0.0,train
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3ccccc31)C2)c1ccccc1,13.0,1.1139433523068367,train
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC(C)(C)Cc2nn(CC(C)(C)C)cc21,1.5,0.17609125905568124,train
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC(C)(C)Oc2sc(CC(C)(C)C)cc21,5.6,0.7481880270062004,train
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC(C)(C)Cc2nn(CC(C)C)cc21,1.6,0.2041199826559248,train
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC(C)(C)Cn2nc(CC(C)(C)C)cc21,5.0,0.6989700043360189,train
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(CC(C)(C)C)cc21,21.0,1.3222192947339193,train
CC(=O)N[C@H]1C[C@@H](n2cnc(NC(=O)Cc3cccc4ccccc34)c2)C1,1.5,0.17609125905568124,test
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc([S+](C)[O-])n2C)ccn1,18.5,1.2671717284030137,train
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(C#N)c(C(F)(F)F)c3)c(C#N)c2)cc1,9.0,0.9542425094393249,train
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(Cl)c(C(F)(F)F)c3)c(C#N)c2)cc1,9.5,0.9777236052888477,train
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(F)c(C(F)(F)F)c3)c(C#N)c2)cc1,14.9,1.173186268412274,train
CC(=O)Nc1ccc2c(N)ncc(-c3ccc(-c4cnn(C)c4)cc3)c2c1,21.8,1.3384564936046048,train
CC(=O)Nc1cccc(/C(C)=N\NC(=O)c2ccc(CN(Cc3ccccc3)S(=O)(=O)c3ccc(Cl)cc3)cc2)c1,0.1,-1.0,test
CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1,40.0,1.6020599913279623,train
CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C(F)(F)F)n3)ccc2n1,41.0,1.6127838567197355,train
CC(=O)Nc1nc2ccc(-c3ccc(N)nc3)cc2s1,46.0,1.662757831681574,train
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2s1,16.0,1.2041199826559248,train
CC(=O)OCOC(=O)c1ccccc1-c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1.CS(=O)(=O)O,1.4,0.146128035678238,train
CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O,2.8,0.4471580313422192,train
CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](COS(=O)(=O)NC(=O)c2ccccc2O)O[C@H]1n1cnc2c(N)ncnc21.CCN(CC)CC,0.62,-0.20760831050174613,train
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1.2149999999999999,0.08457627793433094,train
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]34OC(=O)O[C@H]3[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C4(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2.8,0.4471580313422192,train
CC(=O)O[C@H]1[C@@H](F)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CNS(=O)(=O)NC(=O)c1ccccc1O.CCN(CC)CC,1.1,0.04139268515822508,train
CC(=O)c1ccc(-c2cccc(NC(=O)CCc3cccc4c3B(O)OC4)c2)cc1,3.95,0.5965970956264602,train
CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(C#N)cc3)c2)cc1,13.9,1.1430148002540952,train
CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)C4)CC2)cc1,54.3,1.734799829588847,train
CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CC(=O)N4)CC2)cc1,14.6,1.1643528557844371,train
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,25.7,1.4099331233312946,train
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.45,0.16136800223497488,train
CC(C)(C)C(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,1.4,0.146128035678238,train
CC(C)(C)C(=O)OCOC(=O)c1ccccc1-c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1.CS(=O)(=O)O,9.0,0.9542425094393249,train
CC(C)(C)C(=O)OCn1nnc(-c2ccccc2-c2ccc(CN3CCC(COC(=O)c4c5n(c6ccccc46)CCCO5)CC3)cc2)n1.CS(=O)(=O)O,5.1,0.7075701760979364,test
